sl_no,file_name,file_path,year,client_category,industry,geography,methodology,sample_size,target_respondent,study_type,study_objective,summary,tags,business_impact,confidentiality_level,primary_use_case,uploaded_by,approved_by,notes,version
1,"2021_Public Sector_Service Evaluation_Quantitative_Middle East
Northern Ireland
Singapore",data/cs-files/Government/2021_Public Sector_Service Evaluation_Quantitative_Middle East-Northern Ireland-Singapore.pdf,2021,Government,Public Sector,"Middle East, Northern Ireland & Singapore",Quantitative,60,Citizens interacting with the Judicial Department services,Service Evaluation,To evaluate the services offered by the Judicial Department using mystery shoppers and identify opportunities to improve user facilities and experience.,"This quantitative study evaluated service delivery experiences of a country?s Judicial Department across the Middle East, Northern Ireland, and Singapore. Using mystery shopping through in-person visits, telephonic interactions, and web-based assessments, the research measured user satisfaction, interaction frequency, and preferred service channels. The study compared regional differences in service usage and identified gaps in awareness of available judicial services. Findings offered clear guidance on improving channel effectiveness, user communication, and overall service efficiency within the judicial system.","Government services, Judicial system, Mystery shopping, Service quality assessment, Customer experience, Public sector research, Multi-country study","Enabled the Judicial Department to understand channel-wise performance and regional differences in service usage. Helped in strengthening service delivery strategy, refining channel communication, and identifying improvement areas in user experience and service awareness.",,,,,,
2,2023_Healthcare_New Financial Product Testing_Quantitative_Canada,data/cs-files/Healthcare/2023_Healthcare_New Financial Product Testing_Quantitative_Canada.pdf,2023,Market Research Company,Healthcare,Canada,Quantitative,300,"General Practitioners, Family Medicine Specialists",New Financial Product Testing,"To understand physicians? financial goals for retirement, assess their current investment and financial planning practices, and evaluate the relevance and acceptance of a newly introduced pension plan designed specifically for medical doctors.","This quantitative study evaluated a new pension plan concept among medical doctors in Canada. Using online surveys supported by email sampling and phone-to-web recruitment, the research explored physicians? retirement goals, investment behaviors, and financial planning practices. The study assessed how the proposed pension plan aligned with physicians? expectations for predictable retirement income and complemented existing wealth accumulation strategies. Findings provided direction on product positioning and relevance among general practitioners and specialists.","Healthcare research, Physician study, New product testing, Financial planning, Retirement planning, Quantitative survey, Canada, Medical professionals","Helps refine product positioning, clarify value communication, and identify improvement areas to strengthen acceptance of the pension plan among physicians.",,,,,,
3,2023_Healthcare_Product Development_Qualitative_China,data/cs-files/Healthcare/2023_Healthcare_Product Development_Qualitative_China.pdf,2023,Market Research Company,Healthcare,China,Qualitative,6,Adult and parents of pediatric cochlear implant recipients,Product Development,To identify met and unmet needs of cochlear implant recipients and understand how recipients can be segmented into distinct groups to support targeted service offerings and inform product development and market strategies.,"This qualitative study explored the experiences and needs of adult cochlear implant recipients and parents of pediatric recipients in China, covering children aged 0?5 and 6?15 years. Using in-depth interviews, the research examined patient journeys, unmet needs, and expectations related to cochlear implant usage and support. Findings highlighted that respondents required greater guidance from hospital professionals and cochlear implant experts at each stage, particularly following diagnosis and during solution selection, to inform product development and targeted market strategies.","Healthcare research, Medical devices, Cochlear implants, In-depth interviews, Patient journey, Pediatric Cochlear Implant, Qualitative research, China","Helps identify unmet recipient needs, inform patient-centric product and service strategies, and guide targeted support offerings across the cochlear implant journey.",,,,,,
4,2023_Healthcare_Usage & Attitude Study_Quantitative_Canada,data/cs-files/Healthcare/2023_Healthcare_Usage & Attitude Study_Quantitative_Canada.pdf,2023,Market Research Company,Healthcare,Canada,Quantitative,225,Dieticians and Nutritionists,Usage & Attitude Study,"To understand familiarity with and frequency of use of different types of thickeners among dieticians and nutritionists treating patients with dysphagia, and to identify factors influencing product choice.","This quantitative study explored the preferences and opinions of dieticians and nutritionists in Canada regarding the use of thickeners for patients with dysphagia. Using online surveys and telephone interviews, the research assessed familiarity, usage frequency, and choice drivers across different types of thickeners. Conducted across five regions, the study provided insight into current practices, awareness levels, and factors influencing thickener selection among healthcare professionals.","Healthcare research, Nutrition research, Dysphagia, Thickeners, Usage and attitude study, Quantitative survey, Canada, Dieticians, Nutritionists","Helps improve product understanding, refine positioning, and identify opportunities to optimize thickener usage and adoption among healthcare professionals.",,,,,,
5,2023_Healthcare_Usage & Recommendation Study_Quantitative_Canada,data/cs-files/Healthcare/2023_Healthcare_Usage & Recommendation Study_Quantitative_Canada.pdf,2023,Market Research Company,Healthcare,Canada,Quantitative,81,Dieticians,Usage & Recommendation Study,"To assess dieticians? familiarity with tube feeding formula recommendations, understand the types of formulas recommended for pediatric and adult patients, and evaluate how confidently dieticians recommend tube feeding formulas as part of nutritional care.","This quantitative study explored the recommendations and opinions of dieticians in Canada regarding the use of tube feeding formulas for pediatric and adult patients. Using online surveys and telephone interviews, the research assessed familiarity with formula recommendations, types of formulas prescribed, and confidence in recommending tube feeding as part of nutritional practice. The study provided insight into current recommendation behaviors and considerations influencing formula selection.","Healthcare research, Clinical nutrition, Tube feeding formulas, Dieticians, Usage and attitude study, Quantitative survey, Canada","Helps strengthen understanding of recommendation practices, refine product positioning, and identify opportunities to support dieticians in tube feeding decision-making.",,,,,,
6,2025_Healthcare_Product Usage Evaluation_Quantitative_USA-Canada,data/cs-files/Healthcare/2025_Healthcare_Product Usage Evaluation_Quantitative_USA-Canada.pdf,2025,Market Research Company,Healthcare,USA & Canada,Quantitative,150,Pediatricians,Product Usage Evaluation,To identify the most common types of pain encountered in pediatric patients and assess the effectiveness of current over-the-counter analgesic and antipyretic active ingredients in addressing symptomatic needs across different age groups.,"This quantitative study evaluated the effectiveness of over-the-counter analgesic and antipyretic active ingredients used to manage pain and fever in pediatric patients across the USA and Canada. Using an online survey supported by phone-to-web recruitment, the research gathered input from pediatricians on common pain types, treatment practices, and effectiveness across age groups. The study provided insights into current usage patterns and regional considerations in pediatric pain management.","Healthcare research, Pediatrics, OTC medications, Analgesics, Antipyretics, Pediatric pain management, Quantitative survey, USA, Canada","Helps strengthen understanding of treatment effectiveness, inform product positioning, and support evidence-based decision-making in pediatric pain management strategies.",,,,,,
7,2025_Healthcare_Awareness & Attitude Study_Quantitative_Canada,data/cs-files/Healthcare/2025_Healthcare_Awareness & Attitude Study_Quantitative_Canada.pdf,2025,Market Research Company,Healthcare,Canada,Quantitative,105,General Practitioners and Nurse Practitioners,Awareness & Attitude Study,To understand attitudes and awareness regarding HIV prevention and care among healthcare professionals and inform physician outreach strategy for the Ontario HIV Treatment Network (OHTN) with actionable recommendations for campaign targeting.,"This quantitative study assessed attitudes and awareness of HIV prevention and care among general practitioners and nurse practitioners in Ontario, Canada. Using an online survey supported by email sampling and phone-to-web recruitment, the research gathered insights from healthcare professionals over a 21-business-day period. The study aimed to inform physician outreach and campaign targeting by identifying current awareness levels and engagement considerations related to HIV prevention and care.","Healthcare research, Public health, HIV prevention, HIV care, Physician awareness, Nurse practitioners, Quantitative survey, Canada","Helps inform outreach strategy, refine campaign targeting, and improve engagement with healthcare professionals involved in HIV prevention and care.",,,,,,
8,2024_Healthcare_Treatment Landscape & Physician Preference Study_Quantitative_APAC,data/cs-files/Healthcare/2024_Healthcare_Treatment Landscape & Physician Preference Study_Quantitative_APAC.pdf,2024,Market Research Company,Healthcare,APAC,Quantitative,250,Rheumatologists,Treatment Landscape & Physician Preference Study,"To explore the treatment landscape, patient preferences, and challenges in managing rheumatoid arthritis (RA) among rheumatologists in emerging Asia-Pacific markets","This Quantitative study examined the treatment landscape, physician perspectives, and challenges associated with managing rheumatoid arthritis across emerging Asia-Pacific markets. Conducted among rheumatology specialists, the research explored treatment approaches, patient preferences, and factors influencing care decisions across countries including China, India, Japan, and South Korea. The study provided a comparative view of similarities and differences in RA management practices across the region.","Healthcare research, Rheumatology, Rheumatoid arthritis, Treatment landscape, Physician preferences, Asia-Pacific, India, China, South Korea, Japan","Helps inform tailored marketing and educational strategies, support market entry and expansion decisions, and guide resource allocation by improving understanding of regional treatment practices and challenges in rheumatoid arthritis care.",,,,,,
9,2024_Healthcare_Usage & Recommendation Study_Quantitative_USA,data/cs-files/Healthcare/2024_Healthcare_Usage & Recommendation Study_Quantitative_USA.pdf,2024,Market Research Company,Healthcare,USA,Quantitative,301,Dentists,Usage & Recommendation Study,To understand dentists? feedback and recommendations related to mouthwash and mouth rinse products used by patients.,"This quantitative study gathered feedback from dentists across the USA to understand patient-reported experiences and professional recommendations related to mouthwash and mouth rinse products. Using an online survey supported by email sampling and phone-to-web recruitment, the research explored product feedback, recommendation patterns, and considerations influencing dentists? guidance to patients. The study provided insights into usage and recommendation dynamics within oral care practice.","Healthcare research, Oral care, Dental products, Mouthwash, Mouth rinse, Dentists, Quantitative survey, USA","Helps refine product positioning, strengthen recommendation strategies, and identify opportunities to improve oral care product adoption through dental professionals.",,,,,,
10,2022_Healthcare_Product Usage & Preference Study_Quantitative_Germany,data/cs-files/Healthcare/2022_Healthcare_Product Usage & Preference Study_Quantitative_Germany.pdf,2022,Market Research Company,Healthcare,Germany,Quantitative,109,Dentists,Product Usage & Preference Study,"To understand usage patterns of various dental products available in the market and assess patient preference for one product over another, as reported by dental professionals.","This quantitative study examined the usage and preference of dental products among dental professionals in Germany. Using a combined CATI and web-based interviewing approach, the research gathered insights on product usage and patient preferences across competing dental products. The study provided an overview of market usage patterns and relative product preference within dental care practice.","Healthcare research, Oral care, Dental products, Product usage, Product preference, Dental professionals, Quantitative research, Germany","Helps inform product positioning, compare competitive offerings, and support decision-making based on dental product usage and preference insights.",,,,,,
11,2022_HNI_Brand Communication Evaluation_Qualitative_India,data/cs-files/HNI/2022_HNI_Brand Communication Evaluation_Qualitative_India.pdf,2022,Real Estate Development Firm,HNI,India,Qualitative,5,High Net Worth Individuals,Brand Communication Evaluation,To evaluate brand stature and communication effectiveness of print advertisements for real estate developers in the target market.,"This qualitative study evaluated print advertisements of real estate developers among high net worth individuals in Delhi. Using in-depth interviews, the research captured instant reactions, perceptions, and interpretations of brand communication and stature upon exposure to the advertisements. The study aimed to assess how effectively the print communication resonated with HNI audiences in the real estate market.","Real estate research, HNI study, Brand communication, Advertisement evaluation, Print advertising, Qualitative interviews, India","Helps assess communication effectiveness, refine brand messaging, and improve print advertising strategies targeted at high net worth individuals.",,,,,,
12,2023_HNI_Brand Positioning & Perception Study_Quantitative_India,data/cs-files/HNI/2023_HNI_Brand Positioning & Perception Study_Quantitative_India.pdf,2023,Real Estate,HNI,India,Quantitative,30,High Net Worth Individuals,Brand Positioning & Perception Study,To understand the brand positioning of different real estate brands among HNIs who are either intending to purchase property or currently residing in premium residential areas of Mumbai.,"This quantitative study assessed perceptions and brand positioning of real estate developers among high net worth individuals in Mumbai. Using face-to-face interviews, the research explored awareness of real estate brands, property considerations, and recommendation drivers among HNIs residing in or planning to invest in premium locations. The study aimed to map brand image, values, and competitive positioning within the luxury real estate market.","Real estate research, HNI study, Brand positioning, Property developers, Luxury housing, Face-to-face interviews, India","Helps refine brand positioning, inform pricing and marketing strategy, and strengthen competitive differentiation among luxury real estate developers.",,,,,,
13,2019_IT_Employee Satisfaction Study_Quantitative_Global,data/cs-files/IT/2019_IT_Employee Satisfaction Study_Quantitative_Global.pdf,2019,Corporate,IT,Global,Quantitative,2000+,Employees,Employee Satisfaction Study,"To understand the level of job satisfaction among internal stakeholders, including staff members, board members, advisors, external stakeholders, and board of directors.","This quantitative internal study assessed job satisfaction levels among employees and key stakeholders across global offices of an IT services organization. Using an online survey, the research gathered feedback from over 2,000 respondents to evaluate satisfaction related to job roles and workplace experience. The study aimed to provide leadership with a holistic view of employee sentiment to support internal decision-making and organizational improvement initiatives.","Employee engagement, Job satisfaction, IT services, Corporate research, Global workforce","Helps organizations understand employee satisfaction levels, identify internal engagement gaps, and support informed decisions to improve workplace experience and retention.",,,,,,
14,2023_Media & Entertainment_Awareness & Viewer Engagement Tracking Study_Quantitative_India,data/cs-files/Media/2023_Media & Entertainment_Awareness & Viewer Engagement Tracking Study_Quantitative_India.pdf,2023,Media Company,Media & Entertainment,India,Quantitative,1600,Active OTT users,Awareness & Viewer Engagement Tracking Study,"To capture awareness of various show elements such as trailer and promotions, measure viewership levels, and understand reasons for likes and dislikes of the reality show.","This quantitative tracking study measured awareness and viewer engagement for a reality show among active OTT users across metro and non-metro regions in India. Conducted over eight weeks using an online survey, the research assessed awareness of promotional elements, viewership trends, and audience reactions to the show. The study provided insights into audience reach, engagement patterns, and platform-related viewing behavior.","Media research, Entertainment research, Reality show, Viewer engagement, Show awareness, OTT users, Quantitative survey, India","Helps evaluate promotional effectiveness, track audience engagement over time, and inform programming and marketing decisions for reality shows on OTT platforms.",,,,,,
15,2023_Media & Entertainment_Viewership Tracking & Audience Segmentation Study_Quantitative_India,data/cs-files/Media/2023_Media & Entertainment_Viewership Tracking & Audience Segmentation Study_Quantitative_India.pdf,2023,Media Company,Media & Entertainment,India,Quantitative,11200,IPL viewers,Viewership Tracking & Audience Segmentation Study,"To track viewership trends during the IPL season, gather insights on viewer demographics, segment audiences by engagement levels, and explore content consumption preferences across platforms.","This quantitative tracking study monitored IPL viewership trends across India over a 14-week period for a leading media company. Conducted among a large national sample, the research tracked audience engagement, demographic profiles, fan segments, and content consumption behavior across TV and digital platforms. The study provided a market-wise view of regional variations and evolving viewer preferences during the IPL season.","Media research, IPL, Sports viewership, Audience tracking, Viewer segmentation, Content consumption, India","Helps optimize content strategy, improve audience engagement, and support targeted marketing and programming decisions during high-profile sporting events.",,,,,,
16,2026_Paints & Coatings_Consumer Usage & Brand Perception Study_Mixed_United States,data/cs-files/Paints & Coatings/2026_Paints & Coatings_Consumer Usage & Brand Perception Study_Mixed_United States.pdf,2026,Paint Manufacturer,Paints & Coatings,United States,Mixed,300,Homeowners and professional painters,Consumer Usage & Brand Perception Study,"To map paint usage frequency and project types, measure brand imagery and functional perceptions, and assess factors influencing brand choice within the architectural paints category.","This mixed-method study supported a global paint manufacturer?s understanding of consumer usage patterns and brand perceptions within the U.S. architectural paints market. Combining an online quantitative survey with in-depth interviews, the research captured insights from homeowners and professional painters on usage occasions, decision drivers, and brand imagery. The study enabled a comprehensive view of both behavioral and attitudinal factors to inform product portfolio and strategy planning.","Paints and coatings, Architectural paints, Consumer usage, Brand perception, Decision drivers, Mixed methodology, Homeowners, Professional painters, United States","Helps inform product and portfolio planning, refine brand positioning, and support strategy decisions based on consumer usage behavior and brand perception insights.",,,,,,
